,id,summary,title
0,1,AFG,افغانستان
1,2,ALA,جزایر آلند
2,3,ALB,آلبانی
3,4,DZA,الجزایر
4,5,ASM,ساموای آمریکا
5,6,AND,آندورا
6,7,AGO,آنگولا
7,8,AIA,آنگویلا
8,9,ATA,جنوبگان
9,10,ATG,آنتیگوا و باربودا
10,11,ARG,آرژانتین
11,12,ARM,ارمنستان
12,13,ABW,آروبا
13,14,AUS,استرالیا
14,15,AUT,اتریش
15,16,AZE,جمهوری آذربایجان
16,17,BHS,باهاما
17,18,BHR,بحرین
18,19,BGD,بنگلادش
19,20,BRB,باربادوس
20,21,BLR,بلاروس
21,22,BEL,بلژیک
22,23,BLZ,بلیز
23,24,BEN,بنین
24,25,BMU,برمودا
25,26,BTN,پادشاهی بوتان
26,27,BOL,بولیوی
27,28,BIH,بوسنی و هرزگوین
28,29,BWA,بوتسوانا
29,30,BVT,جزیره بووه
30,31,BRA,برزیل
31,32,IOT,قلمرو اقیانوس هند بر
32,33,BRN,برونئی
33,34,BGR,بلغارستان
34,35,BFA,بورکینافاسو
35,36,BDI,بوروندی
36,37,KHM,کامبوج
37,38,CMR,کامرون
38,39,CAN,کانادا
39,40,CPV,کیپ ورد
40,41,CYM,جزایر کیمن
41,42,CAF,جمهوری آفریقای مرکزی
42,43,TCD,چاد
43,44,CHL,شیلی
44,45,CHN,چین
45,46,CXR,جزیره کریسمس
46,47,CCK,جزایر کوکوس
47,48,COL,کلمبیا
48,49,COM,کومور
49,50,COG,جمهوری کنگو
50,51,COD,جمهوری دموکراتیک کنگ
51,52,COK,جزایر کوک
52,53,CRI,کاستاریکا
53,54,CIV,ساحل عاج
54,55,HRV,کرواسی
55,56,CUB,کوبا
56,57,CYP,قبرس
57,58,CZE,جمهوری چک
58,59,DNK,دانمارک
59,60,DJI,جیبوتی
60,61,DMA,دومینیکا
61,62,DOM,جمهوری دومینیکن
62,63,ECU,اکوادور
63,64,EGY,مصر
64,65,SLV,السالوادور
65,66,GNQ,گینه استوایی
66,67,ERI,اریتره
67,68,EST,استونی
68,69,ETH,اتیوپی
69,70,FLK,جزایر فالکند
70,71,FRO,جزایر فارو
71,72,FJI,فیجی
72,73,FIN,فنلاند
73,74,FRA,فرانسه
74,75,GUF,گویان فرانسه
75,76,PYF,پولی‌نزی فرانسه
76,77,ATF,سرزمین‌های قطب جنوب 
77,78,GAB,گابون
78,79,GMB,گامبیا
79,80,GEO,گرجستان
80,81,DEU,آلمان
81,82,GHA,غنا
82,83,GIB,جبل طارق
83,84,GRC,یونان
84,85,GRL,گرینلند
85,86,GRD,گرنادا
86,87,GLP,جزیره گوادلوپ
87,88,GUM,گوآم
88,89,GTM,گواتمالا
89,90,GGY,گرنزی
90,91,GIN,گینه
91,92,GNB,گینه بیسائو
92,93,GUY,گویان
93,94,HTI,هائیتی
94,95,HMD,جزیره هرد و جزایر مک
95,96,VAT,واتیکان
96,97,HND,هندوراس
97,98,HKG,هنگ کنگ
98,99,HUN,مجارستان
99,100,ISL,ایسلند
100,101,IND,هند
101,102,IDN,اندونزی
102,103,IRN,ایران
103,104,IRQ,عراق
104,105,IRL,جمهوری ایرلند
105,106,IMN,جزیره من
106,107,ISR,اسرائیل
107,108,ITA,ایتالیا
108,109,JAM,جامائیکا
109,110,JPN,ژاپن
110,111,JEY,جرسی
111,112,JOR,اردن
112,113,KAZ,قزاقستان
113,114,KEN,کنیا
114,115,KIR,کیریباتی
115,116,PRK,کره شمالی
116,117,KOR,کره جنوبی
117,118,KWT,کویت
118,119,KGZ,قرقیزستان
119,120,LAO,لائوس
120,121,LVA,لتونی
121,122,LBN,لبنان
122,123,LSO,لسوتو
123,124,LBR,لیبریا
124,125,LIE,لیختن‌اشتاین
125,126,LTU,لیتوانی
126,127,LUX,لوکزامبورگ
127,128,MAC,ماکائو
128,129,MKD,مقدونیه
129,130,MDG,ماداگاسکار
130,131,MWI,مالاوی
131,132,MYS,مالزی
132,133,MDV,مالدیو
133,134,MLI,مالی
134,135,MLT,مالت
135,136,MHL,جزایر مارشال
136,137,MTQ,مارتینیک
137,138,MRT,موریتانی
138,139,MUS,موریس
139,140,MYT,مایوت
140,141,MEX,مکزیک
141,142,FSM,ایالات فدرال میکرونز
142,143,MDA,مولداوی
143,144,MCO,موناکو
144,145,MNG,مغولستان
145,146,MNE,مونته‌نگرو
146,147,MSR,مونتسرات
147,148,MAR,مراکش
148,149,MOZ,موزامبیک
149,150,MMR,میانمار
150,151,NAM,نامیبیا
151,152,NRU,نائورو
152,153,NPL,نپال
153,154,NLD,هلند
154,155,ANT,آنتیل هلند
155,156,NCL,کالدونیای جدید
156,157,NZL,نیوزیلند
157,158,NIC,نیکاراگوئه
158,159,NER,نیجر
159,160,NGA,نیجریه
160,161,NIU,نیووی
161,162,NFK,جزیره نورفولک
162,163,MNP,جزایر ماریانای شمالی
163,164,NOR,نروژ
164,165,OMN,عمان
165,166,PAK,پاکستان
166,167,PLW,پالائو
167,168,PSE,فلسطین
168,169,PAN,پاناما
169,170,PNG,پاپوآ گینه نو
170,171,PRY,پاراگوئه
171,172,PER,پرو
172,173,PHL,فیلیپین
173,174,PCN,جزایر پیت‌کرن
174,175,POL,لهستان
175,176,PRT,پرتغال
176,177,PRI,پورتوریکو
177,178,QAT,قطر
178,179,REU,رئونیون
179,180,ROU,رومانی
180,181,RUS,روسیه
181,182,RWA,رواندا
182,183,BLM,سنت بارثلمی
183,184,SHN,سینت هلینا
184,185,KNA,سنت کیتس و نویس
185,186,LCA,سنت لوسیا
186,187,MAF,سنت مارتین
187,188,SPM,سنت پیر و ماژلان
188,189,VCT,سنت وینسنت و گرنادین
189,190,WSM,ساموآ
190,191,SMR,سن مارینو
191,192,STP,سائوتومه و پرنسیپ
192,193,SAU,عربستان سعودی
193,194,SEN,سنگال
194,195,SRB,صربستان
195,196,SYC,سیشل
196,197,SLE,سیرالئون
197,198,SGP,سنگاپور
198,199,SVK,اسلواکی
199,200,SVN,اسلوونی
200,201,SLB,جزایر سلیمان
201,202,SOM,سومالی
202,203,ZAF,آفریقای جنوبی
203,204,SGS,جورجیای جنوبی و جزای
204,205,ESP,اسپانیا
205,206,LKA,سری‌لانکا
206,207,SDN,سودان
207,208,SUR,سورینام
208,209,SJM,سوالبارد و یان ماین
209,210,SWZ,سوازیلند
210,211,SWE,سوئد
211,212,CHE,سوئیس
212,213,SYR,سوریه
213,214,TJK,تاجیکستان
214,215,TZA,تانزانیا
215,216,THA,تایلند
216,217,TLS,تیمور شرقی
217,218,TGO,توگو
218,219,TKL,توکلائو
219,220,TON,تونگا
220,221,TTO,ترینیداد و توباگو
221,222,TUN,تونس
222,223,TUR,ترکیه
223,224,TKM,ترکمنستان
224,225,TCA,جزایر تورکس و کایکوس
225,226,TUV,تووالو
226,227,UGA,اوگاندا
227,228,UKR,اوکراین
228,229,ARE,امارات متحده عربی
229,230,GBR,بریتانیا
230,231,USA,ایالات متحده آمریکا
231,232,UMI,جزایر کوچک حاشیه‌ای 
232,233,URY,اروگوئه
233,234,UZB,ازبکستان
234,235,VUT,وانواتو
235,236,VEN,ونزوئلا
236,237,VNM,ویتنام
237,238,VGB,جزایر ویرجین انگلستا
238,239,VIR,جزایر ویرجین ایالات 
239,240,WLF,والیس و فوتونا
240,241,ESH,صحرای غربی
241,242,YEM,یمن
242,243,ZMB,زامبیا
243,244,ZWE,زیمبابوه
244,245,USA,آمریکا
245,246,GBR,انگلستان
